DateTime,Volume,Transaction,Value,Open,High,Low,Close,Change,ForeignVol,TrustVol,DealerVol,InvestorsVol
2013/1/2,40647121,14353,4021304950,97.6,99.9,97.1,99.6,2.6,31109805,1893000,2950000,35952805
2013/1/3,44335846,12616,4472175100,100.5,102,100,101,1.4,49651012,1442000,4091000,55184012
2013/1/4,39502577,10276,3980403777,100.5,101.5,100,101.5,0.5,57919001,424000,2066000,60409001
2013/1/7,42328657,9042,4237769552,101,101,99.1,100.5,1,53565300,1128000,2192000,56885300
2013/1/8,31218717,9463,3100841808,99.6,100,98.9,99.7,0.8,31715574,844000,1578000,34137574
2013/1/9,26417262,7616,2638483776,100.5,100.5,99.2,100,0.3,26942339,373000,1417000,28732339
2013/1/10,41234333,8304,4133510035,99.9,101,99.5,101,1,58450853,314000,1294000,60058853
2013/1/11,22993851,7982,2319676468,101.5,101.5,100.5,101,0,29466701,454000,593000,30513701
2013/1/14,23575867,6414,2375656925,101,102,100,102,1,29797350,120000,983000,30900350
2013/1/15,36015126,10021,3620754003,102,102,99.8,100.5,1.5,54388619,799000,1905000,57092619
2013/1/16,35496359,8742,3543926150,100.5,100.5,99.2,99.2,1.3,48629894,4311000,1525000,54465894
2013/1/17,40526293,9034,4042971250,100.5,101,98.5,99.3,0.1,59415233,1100586,2301000,62816819
2013/1/18,49874215,11823,5045047215,101.5,101.5,100.5,101.5,2.2,62218278,2207000,5466000,69891278
2013/1/21,17310236,5625,1738509600,101,101,100,100.5,1,23095517,1208000,1603000,25906517
2013/1/22,21946618,5388,2205121218,101,101,99.9,101,0.5,34135144,660000,839000,35634144
2013/1/23,30821432,7292,3111421288,101.5,101.5,100,101,0,52765717,444000,1062000,54271717
2013/1/24,40653209,8257,4059542810,100,100.5,99.2,99.9,1.1,58004356,504000,2807000,61315356
2013/1/25,48674849,11885,4801805861,99.9,99.9,98,99,0.9,70764933,1270000,1631000,73665933
2013/1/28,29190978,7200,2893310122,98.7,99.5,98.6,99.3,0.3,44828000,142000,2212000,47182000
2013/1/29,36060537,12071,3624866512,100,101.5,99.7,101,1.7,47710324,483000,3467000,51660324
2013/1/30,28862623,6963,2923728423,102,102,100.5,101.5,0.5,43100361,80000,2000000,45180361
