年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2016,1,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,28418,1.41
2016,1,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,1642,1.32
2016,1,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,4805,1.69
2016,1,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,5391,1.5
2016,1,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,2660,2.05
2016,1,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,154455,2.35
2016,1,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,490214,2.44
2016,1,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,6386,2.26
2016,1,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,2666,1.43
2016,1,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,367955,2.56
2016,1,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,126346,2.5
2016,1,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,4854,2.61
2016,1,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,120185,2.66
2016,1,澎湖尖山光電站/Penghu jianshan Photovoltaics Station/Penghu Photovoltaics,70.61,3986,1.82
2016,1,澎湖七美光電站/Penghu Qimei Photovoltaics Station/Qimei 1st Photovoltaics,154.56,6114,1.28
2016,1,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,34445,2.1
2016,2,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,35842,1.77
2016,2,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,1929,1.55
2016,2,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,5449,1.91
2016,2,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,6499,1.81
2016,2,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3019,2.32
2016,2,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,162792,2.47
2016,2,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,528472,2.63
2016,2,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,6965,2.47
2016,2,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3422,1.84
2016,2,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,478599,3.33
2016,2,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,168571,3.34
2016,2,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5427,2.92
2016,2,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,165213,3.65
2016,2,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5201,2.38
2016,2,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,8394,1.75
2016,2,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,43127,2.63
2016,3,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,43362,2.15
2016,3,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2407,1.93
2016,3,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6147,2.16
2016,3,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,6962,1.94
2016,3,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3070,2.36
2016,3,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,162774,2.47
2016,3,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,540858,2.69
2016,3,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,7477,2.65
2016,3,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3241,1.74
2016,3,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,466168,3.24
2016,3,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,152340,3.02
2016,3,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5917,3.18
2016,3,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,155039,3.43
2016,3,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6013,2.75
2016,3,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10787,2.25
2016,3,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,42465,2.59
2016,4,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,54501,2.7
2016,4,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2895,2.32
2016,4,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7967,2.8
2016,4,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9512,2.65
2016,4,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3809,2.93
2016,4,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,196821,2.99
2016,4,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,638786,3.18
2016,4,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8866,3.14
2016,4,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4249,2.28
2016,4,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,573206,3.99
2016,4,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,205959,4.08
2016,4,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7396,3.97
2016,4,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,174955,3.87
2016,4,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,7553,3.45
2016,4,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,13850,2.89
2016,4,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,41406,2.53
2016,5,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,72106,3.57
2016,5,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3948,3.16
2016,5,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,10158,3.57
2016,5,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,10503,2.93
2016,5,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4283,3.3
2016,5,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,255847,3.89
2016,5,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,809137,4.02
2016,5,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10419,3.69
2016,5,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,5209,2.8
2016,5,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,629290,4.38
2016,5,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,224320,4.45
2016,5,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7996,4.3
2016,5,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,193842,4.29
2016,5,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,9012,4.12
2016,5,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,15294,3.19
2016,5,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,54701,3.34
2016,6,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,82819,4.1
2016,6,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,4679,3.75
2016,6,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,10465,3.68
2016,6,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,11524,3.21
2016,6,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4519,3.48
2016,6,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,256324,3.89
2016,6,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,820239,4.08
2016,6,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10174,3.6
2016,6,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,4989,2.68
2016,6,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,613456,4.27
2016,6,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,206572,4.09
2016,6,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,7174,3.86
2016,6,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,190836,4.22
2016,6,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,9000,4.11
2016,6,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,15689,3.27
2016,6,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,53452,3.27
2016,7,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,101279,5.02
2016,7,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,5365,4.3
2016,7,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,12177,4.28
2016,7,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,13630,3.8
2016,7,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,5228,4.02
